País;Año;Voluntarios;Kilogramos;Kilómetros;Elementos recogidos;b9;b3;b10;b11;b12;b13;b14;b15;b1;b2;b16;b17
El Salvador;2021;2;0,0;0,5;33;—;7;7;2;4;;—;—;—;2;;6
Finland;2021;2;1,0;0,1;48;3;1;—;13;4;;—;11;—;5;;
France;2021;526;949,0;34,6;15.158;5.999;578;261;606;401;;142;1.694;164;456;;260
Germany;2021;1.810;1.603,0;47,8;32.245;15.911;198;776;3.755;1.197;;391;242;971;225;;213
Ghana;2021;1.487;64.088,0;3,7;128.013.609;3.173.620;2.213.556;5.815.808;6.978.955;163.922;;7.473.397;601;886;1.090;;5.423.026
Greece;2021;5.630;8.338,0;57,4;103.917;29.559;4.181;8.379;2.219;4.557;;7.846;56;3.609;2.888;;4.501
Guam;2021;17;17,0;2,9;556;—;49;124;—;5;;1;49;5;33;;
Guatemala;2021;15;3,0;5,9;197;6;29;57;15;8;;10;9;2;1;;11
Guyana;2021;82;769,0;4,2;10.452;16;5.324;320;283;213;;37;;818;530;;965
Hong Kong;2021;17.705;128.390,0;132,7;6.237;211;550;310;499;402;;123;208;64;80;;56
Hungary;2021;2;11,0;0,1;5;—;2;—;—;—;;2;—;1;—;;
Iceland;2021;10;900,0;4,8;453;—;5;—;—;3;;4;—;3;—;;
India;2021;432;85,0;1,0;736;4;63;77;97;67;;82;15;10;9;;23
Indonesia;2021;978;5.868,0;49,2;5.881;493;646;382;383;639;;349;312;363;67;;181
Iran;2021;1;0,0;0,1;3;1;—;—;—;—;;—;—;—;—;;
Ireland;2021;886;1.931,0;262,3;37.926;8.941;2.292;1.467;3.338;567;;531;896;1.489;1.895;;218
Israel;2021;123;308,0;3,1;1.439;4;132;5;139;150;;4;3;26;43;;49
Italy;2021;1.292;4.223,0;19,5;15.101;3.050;322;600;419;182;;314;575;136;171;;165
Jamaica;2021;1.846;18.558,0;197,8;245.191;1.314;133.656;28.373;6.950;2.064;;1.323;202;5.520;2.707;;11.374
Japan;2021;3.024;4.989,0;323,6;73.208;10.489;3.964;3.647;4.328;1.130;;981;1.021;1.213;2.204;;512
Kazakhstan;2021;2;1,0;0,1;3;—;2;—;—;—;;—;1;—;—;;
Kenya;2021;2.807;8.178,0;59,6;80.555;494;10.865;4.875;9.270;1.796;;3.537;1.864;1.502;763;;12.308
Madagascar;2021;170;87,0;0,1;—;—;—;—;—;—;;—;—;—;—;;
Malaysia;2021;999;6.071,0;32,2;47.161;2.314;9.951;2.828;2.509;2.768;;1.251;3.563;533;455;;674
Mauritius;2021;210;710,0;7,0;8.139;697;601;626;824;145;;57;—;153;710;;430
